author_id,affiliation_id
A0131,AFF0013
A0131,AFF0013
A0131,AFF0023
A0079,AFF0013
A0079,AFF0013
A0079,AFF0023
A0080,AFF0013
A0080,AFF0013
A0080,AFF0023
A0078,AFF0023
A0078,AFF0013
A0078,AFF0023
A0079,AFF0023
A0079,AFF0013
A0079,AFF0023
A0080,AFF0023
A0080,AFF0013
A0080,AFF0023
A0132,AFF0023
A0132,AFF0023
A0132,AFF0023
A0080,AFF0023
A0080,AFF0023
A0080,AFF0023
A0133,AFF0023
A0133,AFF0023
A0133,AFF0023
A0132,AFF0023
A0132,AFF0023
A0132,AFF0023
A0080,AFF0023
A0080,AFF0023
A0080,AFF0023
A0134,AFF0023
A0134,AFF0023
A0134,AFF0023
A0135,AFF0020
A0135,AFF0020
A0135,AFF0031
A0092,AFF0020
A0092,AFF0020
A0092,AFF0031
A0093,AFF0020
A0093,AFF0020
A0093,AFF0031
A0136,AFF0009
A0136,AFF0009
A0136,AFF0009
A0136,AFF0009
A0136,AFF0009
A0137,AFF0009
A0137,AFF0009
A0137,AFF0009
A0137,AFF0009
A0137,AFF0009
A0138,AFF0009
A0138,AFF0009
A0138,AFF0009
A0138,AFF0009
A0138,AFF0009
A0139,AFF0009
A0139,AFF0009
A0139,AFF0009
A0139,AFF0009
A0139,AFF0009
A0140,AFF0009
A0140,AFF0009
A0140,AFF0009
A0140,AFF0009
A0140,AFF0009
A0073,AFF0021
A0073,AFF0009
A0074,AFF0021
A0074,AFF0009
A0141,AFF0001
A0141,AFF0016
A0142,AFF0001
A0142,AFF0016
A0143,AFF0020
A0143,AFF0020
A0144,AFF0020
A0144,AFF0020
A0107,AFF0008
A0107,AFF0032
A0145,AFF0008
A0145,AFF0032
A0146,AFF0008
A0146,AFF0008
A0107,AFF0008
A0107,AFF0008
A0147,AFF0019
A0147,AFF0019
A0147,AFF0019
A0147,AFF0019
A0147,AFF0019
A0102,AFF0019
A0102,AFF0019
A0102,AFF0019
A0102,AFF0019
A0102,AFF0019
A0148,AFF0019
A0148,AFF0019
A0148,AFF0019
A0148,AFF0019
A0148,AFF0019
A0149,AFF0019
A0149,AFF0019
A0149,AFF0019
A0149,AFF0019
A0149,AFF0019
A0150,AFF0019
A0150,AFF0019
A0150,AFF0019
A0150,AFF0019
A0150,AFF0019
A0151,AFF0019
A0151,AFF0019
A0151,AFF0019
A0152,AFF0019
A0152,AFF0019
A0152,AFF0019
A0153,AFF0019
A0153,AFF0019
A0153,AFF0019
A0154,AFF0004
A0154,AFF0004
A0154,AFF0009
A0155,AFF0004
A0155,AFF0004
A0155,AFF0009
A0156,AFF0004
A0156,AFF0004
A0156,AFF0009
A0157,AFF0033
A0157,AFF0033
A0157,AFF0014
A0157,AFF0033
A0157,AFF0033
A0158,AFF0033
A0158,AFF0033
A0158,AFF0014
A0158,AFF0033
A0158,AFF0033
A0159,AFF0033
A0159,AFF0033
A0159,AFF0014
A0159,AFF0033
A0159,AFF0033
A0160,AFF0033
A0160,AFF0033
A0160,AFF0014
A0160,AFF0033
A0160,AFF0033
A0161,AFF0033
A0161,AFF0033
A0161,AFF0014
